S,1;Shinjuku;M&E;0;0;0,2;Shinjuku Nishiguchi;E;0;0;0,3;Shinjuku-sanchome;M&F;0;1;0,4;Akebonobashi;;0;2;0,5;Ichigaya;Y&N;0;1.8;0,6;Kudanshita;Z&T;0;1.3;0,7;Jimbocho;I&Z;0;0.8;0,8;Ogawamachi;;0;1.1;0,9;Shin-Ochanomizu;C;0;0;0,10;Awajicho;M;0;0;0,11;Iwamotocho;;0;1;0,12;Bakuro-yokoyama;;0;1;0,13;Higashi-Nihonbashi;A;0;0;0,14;Hamacho;;0;0.8;0,15;Morishita;E;0;1;0,16;Kikukawa;;0;1;0,17;Sumiyoshi;Z;0;1.1;0,18;Nishi-ojima;;0;1.25;0,19;Ojima;;0;0.9;0,20;Higashi-ojima;;0;1.5;0,21;Funabori;;0;2.1;0,22;Ichinoe;;0;2.1;0,23;Mizue;;0;2.1;0,24;Shinozaki;;0;1.9;0,25;Motoyawata;;0;3.3;0,,,,,,,,,,,,,,,,,
E,26;Tochomae;;0;0;0,27;Shinjuku-Nishiguchi;M;0;0.56;0,28;Higashi-Shinjuku;F;0;0.98;0,29;Wakamatsu-Kawada;;0;0.7;0,30;Ushigome-Yanagicho;;0;0.42;0,31;Ushigome-Kagurazaka;;0;0.7;0,32;Iidabashi;T&Y&N;0;0.7;0,33;Kasuga;I;0;0.7;0,34;Korakuen;M&N&I;0;0;0,35;Hongo-Sanchome;M;0;0.56;0,36;Ueno-Okachimachi;;0;0.77;0,37;Ueno-Hirokoji;G;0;0;0,38;Naka-Okachimachi;H;0;0;0,39;Shin-Okachimachi;;0;0.56;0,40;Kuramae;A;0;0.7;0,41;Ryogoku;;0;0.84;0,15;Morishita;S;0;0.7;0,42;Kiyosumi-Shirakawa;Z;0;0.42;0,43;Monzen-Nakacho;T;0;0.84;0,44;Tsukishima;Y;0;0.98;0,45;Kachidoki;;0;0.56;0,46;Tsukijishijo;;0;1.05;0,47;Shiodome;;0;0.63;0,48;Daimon;A;0;0.63;0,49;Akabanebashi;;0;0.91;0,50;Azabu-Juban;N;0;0.56;0,51;Roppongi;H;0;0.77;0,52;Aoyama-Itchome;G&Z;0;0.91;0,53;Kokuritsu-Kyogijo;;0;0.84;0,54;Yoyogi;;0;1.05;0,1;Shinjuku;S;0;0.42;0,26;Tochomae;;0;0.56;0,55;Nishi-Shinjuku-Gochome;;0;0.56;0,56;Nakano-Sakaue;M;0;0.84;0,57;Higashi-Nakano;;0;0.7;0,58;Nakai;;0;0.56;0,59;Ochiai-Minami-Nagasaki;;0;0.91;0,60;Shin-Egota;;0;1.12;0,61;Nerima;;0;1.12;0,62;Toshimaen;;0;0.63;0,63;Nerima-Kasugacho;;0;1.05;0,64;Hikarigaoka;;0;0.98;0
A,65;Nishi-Magome;;0;0;0,66;Magome;;0;1.028571429;0,67;Nakanobu;;0;0.771428571;0,68;Togoshi;;0;0.942857143;0,69;Gotanda;;0;1.371428571;0,70;Takanawadai;;0;0.6;0,71;Sengakuji;;0;1.2;0,72;Mita;I;0;0.942857143;0,48;Daimon;E;0;1.285714286;0,73;Shimbashi;G;0;0.857142857;0,74;Higashi-Ginza;H;0;0.771428571;0,75;Ginza;G;0;0;0,76;Hibiya;H&C&I;0;0;0,77;Yurakucho;Y;0;0;0,78;Takaracho;;0;0.685714286;0,79;Nihombashi;G&T;0;0.685714286;0,80;Ningyocho;H;0;0.685714286;0,81;Higashi-Nihombashi;S;0;0.6;0,82;Asakusabashi;;0;0.6;0,40;Kuramae;E;0;0.6;0,83;Asakusa;G;0;0.771428571;0,84;Honjo-Azumabashi;;0;0.6;0,85;Oshiage;Z;0;0.685714286;0,,,,,,,,,,,,,,,,,,,
I,86;Meguro;N;0;0;0,87;Shirokanedai;N;0;1.04;0,88;Shirokane-Takanawa;N;0;0.8;0,72;Mita;A;0;1.36;0,89;Shibakoen;;0;0.48;0,90;Onarimon;;0;0.56;0,91;Uchisaiwaicho;;0;0.88;0,76;Hibiya;H&C;0;0.72;0,77;Yurakucho;Y;0;0;0,92;Otemachi;M&T&Z;0;0.72;0,7;Jimbocho;S&Z;0;1.12;0,93;Suidobashi;;0;0.8;0,33;Kasuga;E;0;0.56;0,34;Korakuen;M&N;0;0;0,94;Hakusan;;0;1.12;0,95;Sengoku;;0;0.8;0,96;Sugamo;;0;0.72;0,97;Nishi-Sugamo;;0;1.12;0,98;Shin-Itabashi;;0;0.8;0,99;Itabashi-Kuyakushomae;;0;0.72;0,100;Itabashi-Honcho;;0;0.96;0,101;Motohasunuma;;0;0.72;0,102;Shimura-Sakaue;;0;0.88;0,103;Shimura-Sanchome;;0;0.72;0,104;Hasune;;0;0.96;0,105;Nishidai;;0;0.64;0,106;Takashimadaira;;0;0.8;0,107;Shin-Takashimadaira;;0;0.56;0,108;Nishi-Takashimadaira;;0;0.64;0,,,,,,,,,,,,,
G,83;Asakusa;A;0;0;0,109;Tawaramachi;;0;2;0,110;Inarich;;0;1;0,111;Ueno;H;0;2;0,37;Ueno-Hirokoji;;0;1;0,112;Naka-okachimachi;H;0;0;0,113;Ueno-okachimachi;E;0;0;0,114;Suehiroch;;0;2;0,115;Kanda;;0;2;0,116;Mitsukoshimae;Z;0;1;0,79;Nihombashi;A&T;0;2;0,117;Kyobashi;;0;2;0,75;Ginza;H&M;0;1;0,73;Shimbashi;A;0;2;0,118;Toranomon;;0;2;0,119;Tameike-Sanno;N;0;2;0,120;Kokkai-Gijido-mae;M&C;0;0;0,121;Akasaka-Mitsuke;M;0;2;0,122;Nagatacho;Y&Z&N;0;0;0,52;Aoyama-Itchome;E&Z;0;2;0,123;Gaiemmae;;0;2;0,124;Omotesando;Z&C;0;1;0,125;Shibuya;F&Z;0;2;0,,,,,,,,,,,,,,,,,,,
M,126;Ikebukuro;Y&F;0;0;0,127;Shin-otsuka;;0;3;0,128;Myogadani;;0;2;0,34;Korakuen;N;0;2;0,33;Kasuga;I&E;0;0;0,35;Hongo-Sanchome;E;0;2;0,129;Ochanomizu;;0;2;0,10;Awajicho;;0;2;0,9;Shin-Ochanomizu;C;0;0;0,8;Ogawamachi;S&E;0;0;0,92;Otemachi;T&C&Z&I;0;2;0,130;Tokyo;;0;2;0,75;Ginza;G&H;0;1;0,131;Kasumigaseki;H&C;0;3;0,120;Kokkai-Gijido-mae;C;0;2;0,119;Tameike-Sanno;G&N;0;0;0,121;Akasaka-Mitsuke;G;0;2;0,122;Nagatacho;Y&Z&N;0;0;0,133;Yotsuya;N;0;2;0,134;Yotsuya-Sanchome;;0;2;0,135;Shinjuku-Gyoemmae;;0;2;0,136;Shinjuku-Sanchome;F&S;0;2;0,1;Shinjuku;S&E;0;2;0,137;Nishi-Shinjuku;;0;1;0,56;Nakano-Sakaue;M&E;0;2;0,138;Shin-Nakano;;0;2;0,139;Higashi-Koenji;;0;2;0,140;Shin-Koenji;;0;2;0,141;Minami-Asagaya;;0;2;0,142;Ogikubo;;0;5;0,,,,,,,,,,,,
H,143;Kita-Senju;C;0;0;0,144;Minami-Senju;;0;3;0,145;Minowa;;0;2;0,146;Iriya;;0;2;0,111;Ueno;G;0;2;0,38;Naka-Okachimachi;;0;1;0,147;Ueno-hirokoji;G;0;0;0,113;Ueno-okachimachi;E;0;0;0,148;Akihabara;;0;2;0,149;Kodemmacho;;0;2;0,80;Ningyocho;A;0;1;0,150;Kayabacho;T;0;3;0,151;Hatchobori;;0;1;0,152;Tsukiji;;0;3;0,74;Higashi-Ginza;A;0;1;0,75;Ginza;G&M;0;2;0,76;Hibiya;C&I;0;1;0,77;Yurakucho;;0;0;0,131;Kasumigaseki;M&C;0;3;0,153;Kamiyacho;;0;2;0,51;Roppongi;E;0;3;0,154;Hiroo;;0;3;0,155;Ebisu;;0;3;0,156;Naka-Meguro;;0;3;0,,,,,,,,,,,,,,,,,,
T,157;Nakano;;0;0;0,158;Ochiai;;0;3;0,159;Takadanobaba;;0;3;0,160;Waseda;;0;3;0,161;Kagurazaka;;0;2;0,32;Iidabashi;N&Y&E;0;2;0,6;Kudanshita;Z&S;0;2;0,162;Takebashi;;0;2;0,92;Otemachi;M&Z&I&C;0;2;0,79;Nihombashi;G&A;0;2;0,150;Kayabacho;H;0;1;0,43;Monzen-Nakacho;E;0;3;0,163;Kiba;;0;2;0,164;Toyocho;;0;1;0,165;Minami-Sunamachi;;0;3;0,166;Nishi-Kasai;;0;3;0,167;Kasai;;0;2;0,168;Urayasu;;0;2;0,169;Minami-Gyotoku;;0;2;0,170;Gyotoku;;0;2;0,171;Myoden;;0;2;0,172;Baraki-Nakayama;;0;3;0,173;Nishi-Funabashi;;0;3;0,,,,,,,,,,,,,,,,,,,
C,174;Ayase;;0;0;0,143;Kita-Senju;H;0;3;0,175;Machiya;;0;4;0,176;Nishi-Nippori;;0;2;0,177;Sendagi;;0;2;0,178;Nezu;;0;2;0,179;Yushima;;0;2;0,9;Shin-Ochanomizu;;0;2;0,10;Awajicho;M;0;0;0,8;Ogawamachi;S;0;0;0,92;Otemachi;I&T&M&Z;0;2;0,180;Nijubashimae;;0;2;0,76;Hibiya;H&I;0;1;0,77;Yurakucho;Y;0;0;0,131;Kasumigaseki;M&H;0;3;0,120;Kokkai-Gijido-mae;M;0;1;0,119;Tameike-Sanno;G&N;0;0;0,181;Akasaka;;0;2;0,182;Nogizaka;;0;2;0,124;Omotesando;Z&G;0;2;0,183;Meiji-Jingumae;F;0;2;0,184;Yoyogi-Koen;;0;2;0,185;Yoyogi-Uehara;;0;2;0,,,,,,,,,,,,,,,,,,,
Y,186;Wakoshi;F;0;0;0,187;Chikatetsu-Narimasu;F;0;3;0,188;Chikatetsu-Akatsuka;F;0;2;0,189;Heiwadai;F;0;5;0,190;Hikawadai;F;0;2;0,191;Kotake-Mukaihara;F;0;2;0,192;Senkawa;F;0;2;0,193;Kanamecho;F;0;2;0,126;Ikebukuro;F&M;0;3;0,194;Higashi-Ikebukuro;;0;2;0,195;Gokokuji;;0;2;0,196;Edogawabashi;;0;3;0,32;Iidabashi;T&N&E;0;2;0,5;Ichigaya;N&S;0;3;0,197;Kojimachi;;0;2;0,122;Nagatacho;Z&N;0;1;0,121;Akasaka-Mitsuke;G&M;0;0;0,199;Sakuradamon;;0;2;0,77;Yurakucho;;0;2;0,76;Hibiya;H&C&I;0;0;0,200;Ginza-itchome;;0;2;0,201;Shintomicho;;0;1;0,44;Tsukishima;E;0;3;0,202;Toyosu;;0;2;0,203;Tatsumi;;0;2;0,204;Shin-Kiba;;0;3;0,,,,,,,,,,,,,,,,
Z,125;Shibuya;F&G;0;0;0,124;Omotesando;C&G;0;2;0,52;Aoyama-Itchome;G&E;0;2;0,122;Nagatacho;Y&N;0;3;0,121;Akasaka-Mitsuke;M&G;0;0;0,206;Hanzomon;;0;2;0,6;Kudanshita;T&S;0;2;0,7;Jimbocho;I&S;0;1;0,92;Otemachi;M&C&T&I;0;3;0,116;Mitsukoshimae;G;0;2;0,207;Suitengumae;;0;3;0,208;Kiyosumi-shirakawa;E;0;3;0,17;Sumiyoshi;S;0;3;0,209;Kinshicho;;0;2;0,85;Oshiage;A;0;2;0,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,210;Akabane-Iwabuchi;;0;0;0,211;Shimo;;0;2;0,212;Oji-Kamiya;;0;2;0,213;Oji;;0;3;0,214;Nishigahara;;0;1;0,215;Komagome;;0;3;0,216;Hon-Komagome;;0;2;0,217;Tadaimae;;0;2;0,34;Korakuen;M;0;3;0,33;Kasuga;I&E;0;0;0,32;Iidabashi;E&T&Y;0;2;0,5;Ichigaya;Y&S;0;2;0,133;Yotsuya;M;0;2;0,122;Nagatacho;Y&Z;0;2;0,121;Akasaka-Mitsuke;G&M;0;0;0,119;Tameike-Sanno;G;0;2;0,120;Kokkai-Gijido-mae;M&C;0;0;0,218;Roppongi-Itchome;;0;2;0,50;Azabu-Juban;E;0;2;0,88;Shirokane-Takanawa;I;0;2;0,87;Shirokanedai;I;0;3;0,86;Meguro;I;0;2;0,,,,,,,,,,,,,,,,,,,,
F,186;Wakoshi;Y;0;0;0,187;Chikatetsu-Narimasu;Y;0;3;0,188;Chikatetsu-Akatsuka;Y;0;2;0,189;Heiwadai;Y;0;3;0,190;Hikawadai;Y;0;2;0,191;Kotake-Mukaihara;Y;0;2;0,192;Senkawa;Y;0;2;0,193;Kanamecho;Y;0;2;0,126;Ikebukuro;M&Y;0;2;0,219;Zoshigaya;;0;3;0,220;Nishi-Waseda;;0;3;0,28;Higashi-Shinjuku;E;0;2;0,136;Shinjuku-Sanchome;M&S;0;2;0,221;Kitasando;;0;3;0,183;Meiji-Jingumae;C;0;2;0,125;Shibuya;Z&G;0;2;0,,,,,,,,,,,,,,,,,,,,,,,,,,
